LastUpdated,PM10
2018-09-06 12:45:00,11.793
2018-09-06 12:30:00,12.073
2018-09-06 12:15:00,18.806
2018-09-06 12:00:00,17.839
2018-09-06 11:45:00,7.719
2018-09-06 11:30:00,9.239
2018-09-06 11:15:00,14.153
2018-09-06 11:00:00,5.119
2018-09-06 10:45:00,9.193
2018-09-06 10:30:00,3.879
2018-09-06 10:15:00,-1.366
2018-09-06 10:00:00,8.979
2018-09-06 09:45:00,8.013
2018-09-06 09:30:00,10.459
2018-09-06 09:15:00,13.633
2018-09-06 09:00:00,8.459
2018-09-06 08:45:00,15.099
2018-09-06 08:30:00,15.446
2018-09-06 08:15:00,15.046
2018-09-06 08:00:00,12.239
2018-09-06 07:45:00,8.379
2018-09-06 07:30:00,11.539
2018-09-06 07:15:00,13.053
2018-09-06 07:00:00,20.093
2018-09-06 06:45:00,24.559
2018-09-06 06:30:00,19.839
2018-09-06 06:15:00,19.113
2018-09-06 06:00:00,21.466
2018-09-06 05:45:00,20.259
2018-09-06 05:30:00,17.366
2018-09-06 05:15:00,21.779
2018-09-06 05:00:00,18.133
2018-09-06 04:45:00,19.513
2018-09-06 04:30:00,18.266
2018-09-06 04:15:00,16.418
2018-09-06 04:00:00,15.973
2018-09-06 03:45:00,14.339
2018-09-06 03:30:00,13.386
2018-09-06 03:15:00,10.373
2018-09-06 03:00:00,11.486
2018-09-06 02:45:00,7.119
2018-09-06 02:30:00,8.093
2018-09-06 02:15:00,8.486
2018-09-06 02:00:00,6.273
2018-09-06 01:45:00,5.479
2018-09-06 01:30:00,7.119
2018-09-06 01:15:00,4.953
2018-09-06 01:00:00,6.893
2018-09-06 00:45:00,5.753
2018-09-06 00:30:00,10.526
2018-09-06 00:15:00,7.713
2018-09-05 22:45:00,7.773
2018-09-05 22:30:00,8.186
2018-09-05 22:15:00,7.666
2018-09-05 22:00:00,8.546
2018-09-05 21:45:00,8.913
2018-09-05 21:30:00,9.233
2018-09-05 21:15:00,6.479
2018-09-05 21:00:00,8.726
2018-09-05 20:45:00,13.326
2018-09-05 20:30:00,10.639
2018-09-05 20:15:00,16.433
2018-09-05 20:00:00,19.313
2018-09-05 19:45:00,18.799
2018-09-05 19:30:00,15.406
2018-09-05 19:15:00,15.346
2018-09-05 19:00:00,17.866
2018-09-05 18:45:00,24.206
2018-09-05 18:30:00,22.539
2018-09-05 18:15:00,29.419
2018-09-05 18:00:00,29.946
2018-09-05 17:45:00,33.833
2018-09-05 17:30:00,42.339
2018-09-05 17:15:00,24.639
2018-09-05 17:00:00,22.279
2018-09-05 16:45:00,24.166
2018-09-05 16:30:00,27.573
2018-09-05 16:15:00,28.466
2018-09-05 16:00:00,24.139
2018-09-05 15:45:00,24.933
2018-09-05 15:30:00,33.799
2018-09-05 15:15:00,32.059
2018-09-05 15:00:00,18.033
2018-09-05 14:45:00,14.926
2018-09-05 14:30:00,19.306
2018-09-05 14:15:00,17.833
2018-09-05 14:00:00,17.699
2018-09-05 13:45:00,13.626
2018-09-05 13:30:00,16.879
2018-09-05 13:15:00,5.126
2018-09-05 13:00:00,26.873
2018-09-05 12:45:00,88.053
2018-09-05 12:30:00,66.493
2018-09-05 12:15:00,47.126
2018-09-05 12:00:00,21.759
2018-09-05 11:45:00,37.199
2018-09-05 11:30:00,40.493
2018-09-05 11:15:00,10.366
2018-09-05 11:00:00,14.826
2018-09-05 10:45:00,10.213
2018-09-05 10:30:00,2.866
2018-09-05 10:15:00,10.126
2018-09-05 10:00:00,17.973
2018-09-05 09:45:00,15.166
2018-09-05 09:30:00,19.606
2018-09-05 09:15:00,24.326
2018-09-05 09:00:00,20.266
2018-09-05 08:45:00,28.386
2018-09-05 08:30:00,37.439
2018-09-05 08:15:00,27.999
2018-09-05 08:00:00,22.599
2018-09-05 07:45:00,34.213
2018-09-05 07:30:00,41.653
2018-09-05 07:15:00,51.213
2018-09-05 07:00:00,49.339
2018-09-05 06:45:00,47.473
